# l,b,dered_u,dered_g,dered_r,dered_i,dered_z
333.079842703329,79.8639200125154,21.6919,20.96296,20.68497,20.69496,20.3997
333.085503787102,79.8633117849132,21.70885,21.12008,20.78134,20.80417,20.64652
333.084986681349,79.861399978451,21.79747,21.25359,20.9494,20.93249,20.98097
333.070912963908,79.8604686940032,22.89019,21.28239,21.10687,21.06962,20.87223
333.077053875339,79.8609482282364,23.12554,21.69699,21.64741,21.82934,21.73511
333.079555502122,79.8594919749458,22.92226,22.21561,22.0573,21.87715,21.35755
333.079056072818,79.8580756477542,24.03354,22.52144,22.14669,22.02303,23.17006
333.433925161836,79.9223702069529,23.3051,22.05253,21.90476,21.48658,21.73789
333.438274524274,79.9247680236718,24.50957,22.48915,22.13261,21.76956,21.49929
333.193643817272,80.0675761033998,21.98061,21.57835,21.14931,21.21609,20.85876
332.814267635638,79.9381310270056,20.32932,19.38136,18.94901,18.8137,18.65198
332.716960889049,79.9057747479917,20.58195,19.49482,19.15955,19.03757,18.96017
332.715671600416,79.9082693110689,21.42732,20.48617,20.29274,20.22128,20.12851
333.544344113954,80.009704921322,21.02542,19.9092,19.47701,19.36406,19.27271
331.329368245313,80.5181795465976,20.68851,20.26513,20.50529,20.66773,20.99957
331.641585756461,80.4340840475037,16.63651,15.16389,14.65747,14.49753,14.44245
331.243498119825,80.2994486722384,17.39858,16.42271,16.05289,15.91837,15.86689
330.883849405973,80.3615535323581,20.40515,19.36638,18.85529,18.65477,18.58822
331.555438396854,80.3438646100363,21.61865,20.2855,19.77551,19.57667,19.42669
331.754566890549,80.4064002742144,21.80665,20.96263,20.77054,20.66146,20.51627
331.625879056792,80.3087604871037,22.02121,20.94416,20.59243,20.49551,20.39488
331.982394563074,80.4226147517984,25.14013,23.2144,22.75403,22.30167,22.58433
332.572097144953,80.3742615579647,18.72322,17.23864,16.68049,16.48519,16.42983
332.641065571707,80.335783728912,23.59368,22.83876,22.67867,22.43993,23.02061
332.183839792125,80.3123466993129,19.34578,18.24303,17.84704,17.72877,17.72036
332.707224312754,80.2999335143313,19.60996,18.6597,18.64885,18.69722,18.73725
332.692031006948,80.2936278494079,20.44274,19.51643,19.13804,19.02618,19.03581
332.137428736215,80.4115686548775,23.49419,21.59241,21.11083,21.17579,20.63182
332.135743222275,80.2297604979113,20.99718,20.76098,20.38255,20.27267,20.19238
332.455157563022,80.2811104262446,21.55544,20.94511,20.51946,20.47366,20.53549
332.479209365625,80.2839942034841,22.07865,21.66085,21.17948,20.93235,20.47513
332.787975112741,80.3262616040449,21.20957,21.21452,20.71666,20.50855,20.1664
331.755706647696,80.28506791555,22.57769,21.92215,21.41689,21.37191,21.87766
332.021269647931,80.2527512643236,22.92933,22.44859,22.10964,21.90531,21.39456
332.691645375001,80.3532741700154,24.83801,23.15313,22.80098,22.29839,22.03936
332.439103472315,80.2712949901706,24.03549,23.15582,22.9453,22.592,22.24672
332.730434994967,80.3054995076738,24.31765,22.41912,21.86617,21.81931,21.72782
332.440605655951,80.2168650119526,19.03598,18.06225,17.69245,17.57958,17.54481
332.471397433163,80.22408447902,22.48409,21.89153,22.11739,21.80767,22.7988
332.98737152641,80.1361211284545,16.15857,14.94246,14.46847,14.31569,14.29086
333.177804686078,80.2552571243544,21.02944,19.91614,19.45396,19.27012,19.04344
332.685110088125,80.1645566819565,23.0092,22.11475,22.03933,21.7516,21.60189
333.314082398365,80.1839759463261,23.21091,21.7701,21.27972,21.38017,21.30632
333.311547608781,80.1197977341071,18.35656,17.18791,16.68641,16.49332,16.38403
333.838142654471,80.22248413452,19.27766,18.35188,18.01085,17.86335,17.80475
334.029976975562,80.2256788641324,19.42729,18.34178,18.3984,18.43377,18.53227
333.865975782213,80.117680317693,19.8625,18.56831,18.03132,17.8347,17.75667
333.882772659244,80.1273556460284,20.85443,19.90747,19.59686,19.50359,19.49458
333.635914349381,80.0487798966794,22.08605,20.96636,20.62432,20.39904,20.42755
333.905337478185,80.1931760146584,24.79486,22.66608,22.24258,21.8761,21.24111
333.758110567122,80.0315782189756,24.53962,22.91187,22.41082,22.2345,22.48582
333.752926552785,80.0884019726762,23.50844,23.24321,22.79293,23.17123,22.19171
334.213973318888,80.0141954301103,19.86778,18.9847,18.70595,18.63766,18.63373
334.655718749403,80.0979044759426,19.71303,18.6603,18.26703,18.13341,18.08488
334.362371874435,80.1104081545833,21.02415,20.25854,19.95784,19.88742,19.78051
334.319434136288,80.0516379501249,22.08854,21.95655,21.88022,21.71958,21.79455
334.43849292605,80.0345385611111,21.70208,21.00567,20.71129,20.59403,21.17526
333.95809319242,80.0385363272702,23.13971,21.65305,21.27621,21.09787,20.96996
334.540285578195,80.0631374526616,22.33312,21.64957,21.32883,21.23531,21.06581
334.408829242352,80.0256285147996,23.44017,21.54937,21.16339,20.98928,20.98992
334.385449304798,80.1147815010004,25.02096,23.53436,23.01942,23.81382,21.84694
330.564493932859,80.2557816549347,22.6717,21.66751,21.24944,21.12802,21.13426
330.647851070118,80.155615896867,21.96102,21.05992,20.74726,20.56895,20.38822
330.70077653687,80.1148202598122,21.11163,19.96219,19.5468,19.45701,19.38643
330.493708550333,80.1619772062173,22.55245,21.33905,21.09688,20.92969,20.80783
330.777100725714,80.1993792283233,22.20093,21.02384,20.48245,20.32203,20.17664
330.829826588706,80.0917818792353,22.76448,22.27348,21.717,21.43699,20.8298
330.918882562862,80.3124123212632,23.00042,22.97006,22.66755,23.22908,22.14319
330.667551490398,80.1013822695431,23.37369,23.1208,22.83655,22.80969,22.74294
331.98744936398,80.1242788405988,18.52407,16.9785,16.39922,16.18688,16.09245
331.775934032129,80.1728128302095,21.28738,20.39724,19.94138,19.78925,19.76803
331.180862882848,80.092296979359,25.58844,22.4969,22.34398,22.17058,23.27706
