#ra,dec,dered_g,dered_r,dered_u,flags
205.4141667,28.36273271,18.867271,18.569016,19.784739,35253395259412
205.41193636,28.36440634,19.888006,18.931925,21.491463,52845581303828
205.40068725,28.28428842,22.900572,22.241865,24.569597,35219000922968
205.14561678,28.44558475,21.028641,20.753969,23.770348,105622104310032
205.16036332,28.29021214,20.314539,19.965353,21.033499,68987912704
205.39919031,28.28245314,19.524723,19.285723,20.551691,35253394210832
205.74444972,28.19957306,23.166277,22.283939,24.274265,105622137864208
205.39981557,28.28374907,23.480188,22.507992,23.896441,545426789499224
205.74760668,28.18708933,19.539778,19.287149,20.39765,35253360132112
205.14677906,28.41516355,21.583403,20.972595,22.97139,158398662443520
205.14676046,28.40952479,23.011871,22.505838,23.512995,442083466936648
205.16086077,28.42334506,22.823608,21.840731,23.805012,35253393555728
205.15644619,28.41224082,22.617817,22.118311,23.248169,439873639153920
205.16242712,28.42787758,21.488447,20.993292,23.397757,68987912704
205.16151645,28.41125145,22.588243,21.870832,24.145803,299136217907528
205.1489417,28.32314163,21.923441,21.325819,22.738594,68988043776
205.15805699,28.36305248,22.238955,21.446327,23.358505,68987912448
205.16752429,28.4048276,21.960974,21.357553,24.131474,68988043520
205.40715772,28.35716798,21.383009,21.28973,22.451361,69056069704
205.15592424,28.30381493,21.812696,21.11797,23.892729,68987912448
205.15392847,28.27434303,21.35931,20.908085,22.815886,17661174087936
205.99015564,27.7436465,23.981756,23.31842,25.227568,316728370266384
205.73453831,28.21817308,22.798727,22.004639,23.86289,105622137733392
205.74470946,28.27029792,18.877718,18.625763,19.852608,35255507615760
205.743837,28.26909389,19.442646,19.208818,20.382097,35253360132112
205.98810717,27.73300748,19.636724,18.878532,21.444553,68988043776
205.38112896,28.31096272,22.803755,22.028072,24.592892,35253360136976
205.39520799,28.28727959,20.037333,19.723692,20.895205,35253394210832
205.37972632,28.31190051,23.038395,22.110565,24.878031,35253393690896
205.37886435,28.34297268,18.855349,18.56838,19.841059,35253393686544
205.38099296,28.34356906,19.147717,18.882313,20.077259,35253360132624
205.38631939,28.34533358,19.655848,19.397097,20.550442,35253393686544
205.38249223,28.34357589,19.894651,19.572388,20.754847,35253393686544
205.12943278,28.35549844,15.036235,14.457453,16.511951,35253360136208
205.12936654,28.35678737,15.162604,14.250618,17.30439,35255507619856
205.12771308,28.37174598,16.4333,15.764429,18.132818,158398662443008
205.12662316,28.38708594,13.390091,12.801826,15.018539,483856285569040
205.38573188,28.34266984,22.421928,21.70332,24.902914,35253360136464
205.38492324,28.34383622,22.442671,21.885431,25.601099,72092847398060304
205.39372649,28.28708952,20.288385,19.866735,21.684034,35253394210832
205.38191688,28.33298823,20.040237,19.729883,21.014179,35253360132624
205.38199982,28.33439814,21.63669,21.022232,22.617069,35255507485200
205.39229049,28.28256822,21.15387,20.714796,23.022568,105622104834576
205.3884473,28.29563211,21.414392,20.905355,22.75736,35253360656400
204.87672171,28.35235125,21.782574,21.297274,23.007244,68987912448
205.38866897,28.2972586,21.888554,21.275318,23.152876,105622104834064
205.3764687,28.30377779,19.115763,18.843569,20.150814,35253360001040
205.38362951,28.3307886,19.746851,19.48447,20.583382,69055021640
205.38376373,28.31115298,20.050539,19.773869,20.894533,68987912192
205.37529913,28.26778701,19.928469,19.599648,20.579016,193583034531856
205.37524365,28.26962893,21.934586,21.385635,25.287975,35253360132368
205.38127232,28.29058911,19.349739,19.083595,20.187979,35253360132112
205.38093299,28.28896272,21.893013,21.55294,23.724997,35253360132112
205.38500928,28.30458413,19.165598,18.894472,20.166878,68987912704
205.38790376,28.31549427,20.194202,19.869156,21.154411,35253360001552
204.71567427,28.47904299,18.367884,17.911539,19.499203,17671978615368
204.87687693,27.61675751,23.466194,23.347605,24.23904,281543964623104
205.38783722,28.31410464,20.478556,20.144039,21.654659,35253393555472
205.38096319,28.26092505,18.094807,17.607357,19.262608,35255507619856
205.37723024,28.26230702,20.250294,19.944765,21.086168,35253360136720
205.37866866,28.26054183,22.061466,21.257507,23.202993,35253360136208
205.37955999,28.2588891,22.714075,21.870731,24.885355,35253393690896
205.39133981,28.31775011,23.232691,22.62892,24.397564,105622137733392
204.69108727,28.36439569,20.240337,19.899252,21.055079,68988043264
205.13521232,27.9681734,19.641163,19.118952,20.988401,68988043776
204.96855924,27.60662932,21.687202,21.047661,22.443502,105622104314384
205.3865336,28.30207257,19.604942,19.318119,20.681776,35253360136208
205.3873101,28.30802331,21.293894,20.918913,22.269386,193583034536208
205.39140757,28.30648871,21.507097,20.955652,24.134302,35253360136464
205.38803482,28.30772607,21.677252,21.23839,24.181252,123214290354960
205.38497079,28.30823359,22.65798,22.149321,24.635408,334320556445968
205.3882941,28.30068342,23.200415,22.341625,24.980539,72163216175796496
204.96963206,28.31573042,22.528292,21.855343,23.282236,439873639154432
205.39072019,27.81209798,23.503309,23.419792,26.476816,281543964623104
205.45177633,27.82476617,23.279148,22.452679,25.409115,281543964754176
205.39689105,28.34304181,21.515972,21.047806,23.148794,17661174087936
205.38688693,28.28741232,22.103096,21.503517,23.538387,68988043264
205.3952576,27.95768443,23.444565,22.853558,24.481489,281543964623104
205.46637479,27.97222014,21.892601,21.408817,22.598251,68987912704
205.38262421,28.2326127,22.701342,22.095079,24.914555,105624251662608
205.46149938,27.83436898,20.255114,20.044575,21.200628,68987912192
205.45982343,27.84618161,21.038288,20.808323,21.775845,2450547278336
205.44928313,27.81675706,24.010118,23.389963,24.947027,316730517881104
205.38876092,28.24279074,22.523783,21.770176,23.830477,68987912448
205.44820241,27.81706518,22.516603,21.746082,23.172606,105622104310032
205.39694226,28.26585495,22.501223,21.617552,25.15597,68987912448
205.38658311,27.85279619,20.318642,19.941751,21.510197,35253360136208
205.45040586,27.86360445,18.846237,18.547855,19.840395,68987912192
205.39158024,28.30227835,23.55378,22.616629,24.004303,281543964623104
205.45184658,27.95163706,20.002195,19.740004,20.906006,68988043776
205.45154799,27.9753172,18.727161,18.411831,19.591192,35253360001040
205.44940488,27.97680689,18.674753,18.341843,19.662598,35255507484688
205.39673195,27.82140129,19.526257,18.953342,20.82958,68987912192
205.38470793,27.90526712,19.271799,18.767931,20.313314,68988043776
205.3899895,27.95252203,20.172049,19.903585,21.093575,68987912192
205.38688595,27.99345934,20.197884,19.919985,20.956686,68987912192
205.38822696,27.81984575,17.048824,16.444983,18.589699,35255507619856
205.3789576,27.78979791,17.263554,16.800127,18.542326,35255507619856
205.38043392,27.88794856,17.874722,17.677141,18.70138,68987912704
205.14178239,27.89053226,24.015503,23.439005,25.133759,281543964758784
